mock_file,screen,mode,variant,suggested_dart_file,suggested_class,suggested_route,notes
mock_analysis_input_char.jpg,analysis,,char,analysis_input_char.dart,,,
mock_analysis_input_nochar.jpg,analysis,,nochar,analysis_input_nochar.dart,,,
mock_analysis_result_char.jpg,analysis,,char,analysis_result_char.dart,,,
mock_analysis_result_nochar.jpg,analysis,,nochar,analysis_result_nochar.dart,,,
mock_analysis_result_samba.jpg,analysis,,samba,analysis_result_samba.dart,,,
mock_forbidden_char.jpg,forbidden,,char,forbidden_char.dart,ForbiddenScreen,/forbidden,
mock_forbidden_nochar.jpg,forbidden,,nochar,forbidden_nochar.dart,ForbiddenScreen,/forbidden,
mock_forbidden_twins.jpg,forbidden,,twins,forbidden_twins.dart,ForbiddenTwinsScreen,/forbidden,
mock_generate_normal_char.jpg,generate,normal,char,generate_normal_char.dart,GenerateScreenNoChar,/generate/normal,
mock_generate_normal_nochar.jpg,generate,normal,nochar,generate_normal_no_char.dart,GenerateScreenNoChar,/generate/normal,
mock_generate_ura_char.jpg,generate,ura,char,generate_ura_char.dart,GenerateScreenUra,/generate/ura,
mock_generate_ura_nochar.jpg,generate,ura,nochar,generate_ura_no_char.dart,GenerateScreenUraNoChar,/generate/ura,
mock_guide_end.jpg,guide,,,guide_end.dart,,,
mock_guide_top.jpg,guide,,,guide_top.dart,,,
mock_input_normal_char.jpg,input,normal,char,input_normal_char.dart,InputNormalScreen,/input/normal,
mock_input_normal_nochar.jpg,input,normal,nochar,input_normal_nochar.dart,InputNormalScreen,/input/normal,
mock_input_ura_char.jpg,input,ura,char,input_ura_char.dart,InputScreenUra,/input/ura,
mock_input_ura_nochar.jpg,input,ura,nochar,input_ura_nochar.dart,InputScreenUra,/input/ura,
mock_menu_normal.jpg,menu,normal,,menu_normal.dart,MenuScreenNormal,/menu/normal,
mock_menu_ura.jpg,menu,ura,,menu_ura.dart,MenuScreenUra,/menu/ura,
mock_negative_block_ng_char.jpg,negative_block,,char,negative_block_ng_char.dart,NegativeBlockNgScreen,/negative/ng,
mock_negative_block_ng_nochar.jpg,negative_block,,nochar,negative_block_ng_nochar.dart,NegativeBlockNgScreen,/negative/ng,
mock_negative_block_top_char.jpg,negative_block,,char,negative_block_top_char.dart,NegativeBlockTopScreen,/negative/top,
mock_negative_block_top_nochar.jpg,negative_block,,nochar,negative_block_top_nochar.dart,NegativeBlockTopScreen,/negative/top,
mock_opening_prime.jpg,opening_prime,,,opening_prime.dart,OpeningPrimeScreen,/opening,
mock_oracle_char.jpg,oracle,,char,oracle_char.dart,OracleScreen,/oracle,
mock_oracle_nochar.jpg,oracle,,nochar,oracle_nochar.dart,OracleScreen,/oracle,
